Date,HomeAway,Opponent,Points,OppPoints,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,Team
2021-01-12,,DEN,122,116,48,79,0.608,16,32,0.5,10,15,0.667,8,41,31,6,6,18,18,44,88,0.5,18,37,0.486,10,16,0.625,9,32,28,12,5,13,18,BKN
2021-01-13,@,NYK,116,109,44,91,0.484,16,40,0.4,12,17,0.706,12,46,29,3,5,6,12,44,92,0.478,11,28,0.393,10,12,0.833,12,43,22,4,3,9,16,BKN
2021-01-16,,ORL,122,115,42,78,0.538,16,35,0.457,22,25,0.88,4,41,24,9,5,19,14,44,95,0.463,14,46,0.304,13,16,0.813,9,38,28,13,4,12,19,BKN
2021-01-18,,MIL,125,123,46,84,0.548,15,31,0.484,18,21,0.857,7,49,26,2,5,17,19,46,105,0.438,11,38,0.289,20,24,0.833,11,41,21,9,2,5,15,BKN
2021-01-20,@,CLE,135,147,48,106,0.453,15,41,0.366,24,27,0.889,13,52,30,8,11,16,24,56,109,0.514,20,40,0.5,15,21,0.714,12,50,29,10,6,14,21,BKN
2021-01-22,@,CLE,113,125,42,87,0.483,14,43,0.326,15,17,0.882,6,29,23,5,8,11,25,45,87,0.517,8,25,0.32,27,32,0.844,13,50,24,7,3,12,18,BKN
2021-01-23,,MIA,128,124,44,83,0.53,19,37,0.514,21,26,0.808,9,47,34,0,6,16,26,42,89,0.472,13,46,0.283,27,32,0.844,2,31,29,7,1,8,23,BKN
2021-01-25,,MIA,98,85,34,85,0.4,11,38,0.289,19,22,0.864,6,49,24,6,5,7,18,31,84,0.369,11,43,0.256,12,17,0.706,8,45,20,3,7,12,21,BKN
2021-01-27,@,ATL,132,128,52,98,0.531,11,32,0.344,17,20,0.85,11,36,29,7,10,9,25,45,94,0.479,13,33,0.394,25,28,0.893,12,37,29,3,7,9,18,BKN
2021-01-29,@,OKC,147,125,57,100,0.57,19,45,0.422,14,16,0.875,10,50,33,7,4,11,25,40,86,0.465,16,38,0.421,29,34,0.853,6,36,23,4,4,12,12,BKN
2021-01-31,@,WAS,146,149,50,88,0.568,19,36,0.528,27,33,0.818,7,45,33,6,5,17,24,56,108,0.519,12,39,0.308,25,32,0.781,11,39,24,10,2,7,22,BKN
2021-02-02,,LAC,124,120,45,79,0.57,13,31,0.419,21,26,0.808,6,44,25,6,4,16,17,45,99,0.455,15,36,0.417,15,17,0.882,11,39,21,12,5,8,18,BKN
2021-02-05,,TOR,117,123,39,80,0.488,17,42,0.405,22,29,0.759,8,40,29,5,6,18,19,49,97,0.505,13,32,0.406,12,14,0.857,12,41,22,10,6,10,25,BKN
2021-02-06,@,PHI,108,124,39,88,0.443,15,41,0.366,15,17,0.882,8,34,21,6,3,17,18,48,94,0.511,10,27,0.37,18,22,0.818,13,51,27,12,4,15,15,BKN
2021-02-09,@,DET,111,122,43,86,0.5,11,30,0.367,14,16,0.875,8,34,30,8,6,15,22,47,84,0.56,13,29,0.448,15,21,0.714,7,37,28,10,6,13,16,BKN
2021-02-10,,IND,104,94,32,76,0.421,9,31,0.29,31,35,0.886,9,46,20,2,5,12,20,36,92,0.391,15,38,0.395,7,11,0.636,10,43,26,4,5,8,21,BKN
2021-02-13,@,GSW,134,117,50,93,0.538,16,39,0.41,18,20,0.9,8,45,35,9,5,13,15,44,90,0.489,9,34,0.265,20,25,0.8,5,37,25,6,6,13,15,BKN
